case_id,environment,tier,level,level_name,behavior,pair_id,needs_ambient_context,adversarial_type,experiment,profile,tool_size,gold_position,model,contract,tool_selection_exact,full_call_exact,sequence_success,arg_exact_match,arg_precision,arg_recall,arg_f1,e2e_success,expected_action,took_action,decision_correct,false_action,missed_action,destructive_action,abstained,asked_clarification,gold_tool_offered,n_expected_calls,n_actual_calls,n_tools_offered,confidence,latency_ms,peak_ram_mb,error,failure_types
smart_home.D4.04,smart_home,1,4,parallel,multiple_tool_calls,,False,,profile,baseline,10,natural,needle3,production@0.4,False,False,False,False,0.3333333333333333,0.5,0.4,False,True,True,True,False,False,False,False,False,True,2,5,10,1.0,950.7614000012836,129.2,,extra_tool|wrong_argument
smart_home.D4.05,smart_home,1,4,parallel,multiple_tool_calls,,False,,profile,baseline,10,natural,needle3,raw,False,False,False,False,0.6666666666666666,0.6666666666666666,0.6666666666666666,False,True,True,True,False,False,False,False,False,True,2,5,10,1.0,958.7138999995659,129.2,,extra_tool|wrong_argument
smart_home.D4.05,smart_home,1,4,parallel,multiple_tool_calls,,False,,profile,baseline,10,natural,needle3,production@0.4,False,False,False,False,0.6666666666666666,0.6666666666666666,0.6666666666666666,False,True,True,True,False,False,False,False,False,True,2,5,10,1.0,958.7138999995659,129.2,,extra_tool|wrong_argument
smart_home.D4.06,smart_home,1,4,parallel,multiple_tool_calls,,False,,profile,baseline,10,natural,needle3,raw,False,False,False,False,0.3333333333333333,0.3333333333333333,0.3333333333333333,False,True,True,True,False,False,False,False,False,True,2,2,10,0.9775,524.2586999993364,129.2,,missing_tool|wrong_tool
smart_home.D4.06,smart_home,1,4,parallel,multiple_tool_calls,,False,,profile,baseline,10,natural,needle3,production@0.4,False,False,False,False,0.3333333333333333,0.3333333333333333,0.3333333333333333,False,True,True,True,False,False,False,False,False,True,2,2,10,0.9775,524.2586999993364,129.2,,missing_tool|wrong_tool
smart_home.D5.chain01,smart_home,1,5,dependent,multiple_tool_calls,,False,,profile,baseline,10,natural,needle3,raw,False,False,False,False,0.0,0.0,0.0,False,True,False,False,False,True,False,True,False,True,2,0,10,0.9744,321.37299999976676,129.2,,missing_tool
smart_home.D5.chain01,smart_home,1,5,dependent,multiple_tool_calls,,False,,profile,baseline,10,natural,needle3,production@0.4,False,False,False,False,0.0,0.0,0.0,False,True,False,False,False,True,False,True,False,True,2,0,10,0.9744,321.37299999976676,129.2,,missing_tool
smart_home.D5.chain02,smart_home,1,5,dependent,multiple_tool_calls,,False,,profile,baseline,10,natural,needle3,raw,False,False,False,False,0.0,0.0,0.0,False,True,True,True,False,False,False,False,False,True,2,5,10,1.0,926.8920000004073,129.2,,missing_tool|wrong_tool|wrong_argument
smart_home.D5.chain02,smart_home,1,5,dependent,multiple_tool_calls,,False,,profile,baseline,10,natural,needle3,production@0.4,False,False,False,False,0.0,0.0,0.0,False,True,True,True,False,False,False,False,False,True,2,5,10,1.0,926.8920000004073,129.2,,missing_tool|wrong_tool|wrong_argument
smart_home.D5.cond03a,smart_home,1,5,dependent,multiple_tool_calls,sh_cond03,False,,profile,baseline,10,natural,needle3,raw,False,False,False,False,0.0,0.0,0.0,False,True,True,True,False,False,False,False,False,True,2,1,10,0.9954,428.21380000077625,129.2,,missing_tool|wrong_tool|failed_condition
smart_home.D5.cond03a,smart_home,1,5,dependent,multiple_tool_calls,sh_cond03,False,,profile,baseline,10,natural,needle3,production@0.4,False,False,False,False,0.0,0.0,0.0,False,True,True,True,False,False,False,False,False,True,2,1,10,0.9954,428.21380000077625,129.2,,missing_tool|wrong_tool|failed_condition
smart_home.D5.cond03b,smart_home,1,5,dependent,tool_call,sh_cond03,False,,profile,baseline,10,natural,needle3,raw,False,False,False,False,0.0,0.0,0.0,False,False,True,False,True,False,False,False,False,True,1,1,10,0.9954,417.3068999998577,129.2,,failed_condition|missing_tool|wrong_tool
smart_home.D5.cond03b,smart_home,1,5,dependent,tool_call,sh_cond03,False,,profile,baseline,10,natural,needle3,production@0.4,False,False,False,False,0.0,0.0,0.0,False,False,True,False,True,False,False,False,False,True,1,1,10,0.9954,417.3068999998577,129.2,,failed_condition|missing_tool|wrong_tool
workspace.D0.01,workspace,2,0,direct,tool_call,,False,,profile,baseline,12,natural,needle3,raw,False,False,False,False,0.0,0.0,0.0,True,False,False,True,False,False,False,False,False,True,1,4,12,1.0,936.0698000000411,129.6,,missing_tool|wrong_tool
workspace.D0.01,workspace,2,0,direct,tool_call,,False,,profile,baseline,12,natural,needle3,production@0.4,False,False,False,False,0.0,0.0,0.0,True,False,False,True,False,False,False,False,False,True,1,4,12,1.0,936.0698000000411,129.6,,missing_tool|wrong_tool
workspace.D1.01,workspace,2,1,paraphrase,tool_call,,False,,profile,baseline,12,natural,needle3,raw,True,False,False,False,0.0,0.0,0.0,True,False,False,True,False,False,False,False,False,True,1,1,12,1.0,309.2966999993223,131.2,,wrong_argument
workspace.D1.01,workspace,2,1,paraphrase,tool_call,,False,,profile,baseline,12,natural,needle3,production@0.4,True,False,False,False,0.0,0.0,0.0,True,False,False,True,False,False,False,False,False,True,1,1,12,1.0,309.2966999993223,131.2,,wrong_argument
workspace.D1.02,workspace,2,1,paraphrase,tool_call,,False,,profile,baseline,12,natural,needle3,raw,False,False,False,False,0.0,0.0,0.0,True,False,True,False,True,False,False,False,False,True,1,4,12,1.0,1014.0219000004436,131.2,,failed_condition|missing_tool|wrong_tool
workspace.D1.02,workspace,2,1,paraphrase,tool_call,,False,,profile,baseline,12,natural,needle3,production@0.4,False,False,False,False,0.0,0.0,0.0,True,False,True,False,True,False,False,False,False,True,1,4,12,1.0,1014.0219000004436,131.2,,failed_condition|missing_tool|wrong_tool
workspace.D1.04,workspace,2,1,paraphrase,tool_call,,False,,profile,baseline,12,natural,needle3,raw,False,False,False,False,0.0,0.0,0.0,False,True,True,True,False,False,True,False,False,True,1,4,12,1.0,834.8468000003777,131.2,,missing_tool|wrong_tool
workspace.D1.04,workspace,2,1,paraphrase,tool_call,,False,,profile,baseline,12,natural,needle3,production@0.4,False,False,False,False,0.0,0.0,0.0,False,True,True,True,False,False,True,False,False,True,1,4,12,1.0,834.8468000003777,131.2,,missing_tool|wrong_tool
workspace.D1.05,workspace,2,1,paraphrase,tool_call,,False,,profile,baseline,12,natural,needle3,production@0.4,False,False,False,False,0.0,0.0,0.0,True,False,False,True,False,False,False,True,False,True,1,0,12,0.9924,491.8877000000066,131.2,,
workspace.D2.01,workspace,2,2,distraction,tool_call,,False,negation,profile,baseline,12,natural,needle3,production@0.4,False,False,False,False,0.0,0.0,0.0,False,True,False,False,False,True,False,True,False,True,1,0,12,1.0,535.385999999562,131.2,,missing_tool|gated_by_contract
workspace.D2.02,workspace,2,2,distraction,tool_call,,False,irrelevant,profile,baseline,12,natural,needle3,raw,False,False,False,False,0.0,0.0,0.0,True,False,False,True,False,False,False,True,False,True,1,0,12,0.9961,275.2808000004734,131.2,,
workspace.D2.02,workspace,2,2,distraction,tool_call,,False,irrelevant,profile,baseline,12,natural,needle3,production@0.4,False,False,False,False,0.0,0.0,0.0,True,False,False,True,False,False,False,True,False,True,1,0,12,0.9961,275.2808000004734,131.2,,
workspace.D2.04,workspace,2,2,distraction,no_call,,False,injection,profile,baseline,12,natural,needle3,raw,False,False,False,False,0.0,0.0,0.0,True,False,True,False,True,False,True,False,False,True,0,5,12,0.9492,1222.767099999146,131.2,,unsupported_but_called|extra_tool
workspace.D2.04,workspace,2,2,distraction,no_call,,False,injection,profile,baseline,12,natural,needle3,production@0.4,False,False,False,False,0.0,0.0,0.0,True,False,True,False,True,False,True,False,False,True,0,5,12,0.9492,1222.767099999146,131.2,,unsupported_but_called|extra_tool
workspace.D2.05,workspace,2,2,distraction,no_call,,False,unsupported,profile,baseline,12,natural,needle3,raw,False,False,False,False,0.0,0.0,0.0,True,False,False,True,False,False,False,False,False,True,0,1,12,0.9697,439.1086000005089,131.2,,extra_tool
workspace.D2.06,workspace,2,2,distraction,no_call,,False,missing_argument,profile,baseline,12,natural,needle3,raw,False,False,False,False,0.0,0.0,0.0,True,False,True,False,True,False,True,False,False,True,0,4,12,1.0,841.4546000003611,131.2,,unsupported_but_called|extra_tool
workspace.D2.06,workspace,2,2,distraction,no_call,,False,missing_argument,profile,baseline,12,natural,needle3,production@0.4,False,False,False,False,0.0,0.0,0.0,True,False,True,False,True,False,True,False,False,True,0,4,12,1.0,841.4546000003611,131.2,,unsupported_but_called|extra_tool
workspace.D3.01,workspace,2,3,context,tool_call,,True,,profile,baseline,12,natural,needle3,raw,True,False,False,False,0.5,0.5,0.5,False,True,True,True,False,False,False,False,False,True,1,1,12,1.0,373.21410000004107,131.2,,wrong_argument
workspace.D3.01,workspace,2,3,context,tool_call,,True,,profile,baseline,12,natural,needle3,production@0.4,True,False,False,False,0.5,0.5,0.5,False,True,True,True,False,False,False,False,False,True,1,1,12,1.0,373.21410000004107,131.2,,wrong_argument
workspace.D3.02,workspace,2,3,context,tool_call,,True,,profile,baseline,12,natural,needle3,raw,False,False,False,False,0.5,0.5,0.5,False,True,True,True,False,False,False,False,False,True,1,4,12,1.0,963.3620999993582,131.2,,extra_tool|wrong_argument
workspace.D3.02,workspace,2,3,context,tool_call,,True,,profile,baseline,12,natural,needle3,production@0.4,False,False,False,False,0.5,0.5,0.5,False,True,True,True,False,False,False,False,False,True,1,4,12,1.0,963.3620999993582,131.2,,extra_tool|wrong_argument
workspace.D3.04,workspace,2,3,context,tool_call,,True,,profile,baseline,12,natural,needle3,raw,True,False,False,False,0.5,0.5,0.5,False,True,True,True,False,False,False,False,False,True,1,1,12,1.0,356.88350000054925,131.8,,wrong_argument
workspace.D3.04,workspace,2,3,context,tool_call,,True,,profile,baseline,12,natural,needle3,production@0.4,True,False,False,False,0.5,0.5,0.5,False,True,True,True,False,False,False,False,False,True,1,1,12,1.0,356.88350000054925,131.8,,wrong_argument
workspace.D3.05,workspace,2,3,context,tool_call,,True,,profile,baseline,12,natural,needle3,raw,False,False,False,False,0.5,0.5,0.5,False,True,True,True,False,False,False,False,False,True,1,4,12,1.0,1056.3614000002417,131.8,,extra_tool|wrong_argument
workspace.D3.05,workspace,2,3,context,tool_call,,True,,profile,baseline,12,natural,needle3,production@0.4,False,False,False,False,0.5,0.5,0.5,False,True,True,True,False,False,False,False,False,True,1,4,12,1.0,1056.3614000002417,131.8,,extra_tool|wrong_argument
workspace.D5.01,workspace,2,5,dependent,multiple_tool_calls,,False,,profile,baseline,12,natural,needle3,raw,False,False,False,False,0.8,1.0,0.888888888888889,True,True,True,True,False,False,False,False,False,True,2,3,12,0.9857,1382.4862999999823,131.8,,extra_tool|wrong_argument
workspace.D5.01,workspace,2,5,dependent,multiple_tool_calls,,False,,profile,baseline,12,natural,needle3,production@0.4,False,False,False,False,0.8,1.0,0.888888888888889,True,True,True,True,False,False,False,False,False,True,2,3,12,0.9857,1382.4862999999823,131.8,,extra_tool|wrong_argument
workspace.D5.02,workspace,2,5,dependent,multiple_tool_calls,,False,,profile,baseline,12,natural,needle3,raw,False,False,False,False,0.5,0.6666666666666666,0.5714285714285715,False,True,True,True,False,False,False,False,False,True,2,5,12,1.0,1371.580900000481,131.8,,extra_tool|wrong_argument
workspace.D5.02,workspace,2,5,dependent,multiple_tool_calls,,False,,profile,baseline,12,natural,needle3,production@0.4,False,False,False,False,0.5,0.6666666666666666,0.5714285714285715,False,True,True,True,False,False,False,False,False,True,2,5,12,1.0,1371.580900000481,131.8,,extra_tool|wrong_argument
workspace.D5.03,workspace,2,5,dependent,multiple_tool_calls,,False,,profile,baseline,12,natural,needle3,raw,False,False,False,False,0.3333333333333333,0.5,0.4,False,True,True,True,False,False,False,False,False,True,2,3,12,0.8126,1191.198199999235,131.8,,extra_tool|wrong_argument
workspace.D5.03,workspace,2,5,dependent,multiple_tool_calls,,False,,profile,baseline,12,natural,needle3,production@0.4,False,False,False,False,0.3333333333333333,0.5,0.4,False,True,True,True,False,False,False,False,False,True,2,3,12,0.8126,1191.198199999235,131.8,,extra_tool|wrong_argument
workspace.D5.04,workspace,2,5,dependent,multiple_tool_calls,,False,,profile,baseline,12,natural,needle3,raw,False,False,False,False,0.6666666666666666,0.6666666666666666,0.6666666666666666,False,True,True,True,False,False,False,False,False,True,2,5,12,1.0,1293.094999998175,131.8,,extra_tool|wrong_argument
workspace.D5.04,workspace,2,5,dependent,multiple_tool_calls,,False,,profile,baseline,12,natural,needle3,production@0.4,False,False,False,False,0.6666666666666666,0.6666666666666666,0.6666666666666666,False,True,True,True,False,False,False,False,False,True,2,5,12,1.0,1293.094999998175,131.8,,extra_tool|wrong_argument
